School, Room, Asset, Serial Number, Model, Physical Status, Assignment Status
FHS,None,7240,HY3A91BF607078,Samsung Chromebook,Good,Unassigned
FHS,None,6894,HY3A91BF607084,Samsung Chromebook,Good,Unassigned
FHS,None,6838,HY3A91BF609034,Samsung Chromebook,Good,Unassigned
FHS,None,7041,HY3A91AF609280,Samsung Chromebook,Good,Unassigned
FHS,None,6529,HY3A91AF609074,Samsung Chromebook,Good,Unassigned
FHS,None,6633,HY3A91BF608896,Samsung Chromebook,Good,Unassigned
FHS,None,6459,HY3A91BF608246,Samsung Chromebook,Good,Unassigned
FHS,None,5587,HY3A91JD704122,Samsung Chromebook,Good,Unassigned
FHS,None,6832,HY3A91BF607681,Samsung Chromebook,Good,Unassigned
FHS,None,5454,HY3A91BDC06766,Samsung Chromebook,Good,Unassigned
FHS,None,6669,HY3A91BF607076,Samsung Chromebook,Good,Unassigned
FHS,None,7081,HY3A91BF608493,Samsung Chromebook,Good,Unassigned
FHS,None,6164,0UG99FCF226835,Samsung Chromebook,Good,Unassigned
FHS,None,7106,HY3A91BF608537,Samsung Chromebook,Good,Unassigned
FHS,None,6824,HY3A91AF609259,Samsung Chromebook,Good,Unassigned
FHS,None,7066,HY3A91BF608893,Samsung Chromebook,Good,Unassigned
FHS,None,2758,HY3A91ND212268,Samsung Chromebook,Good,Unassigned
FHS,None,6904,HY3A91BF607199,Samsung Chromebook,Good,Unassigned
FHS,None,6533,HY3A91BF607087,Samsung Chromebook,Good,Unassigned
FHS,None,5161,HY3A91MD754508,Samsung Chromebook,Good,Unassigned
FHS,None,7091,HY3A91AF608823,Samsung Chromebook,Good,Unassigned
FHS,None,6873,HY3A91AF608737,Samsung Chromebook,Good,Unassigned
FHS,None,6474,HY3A91AF608901,Samsung Chromebook,Good,Unassigned
FHS,None,6488,HY3A91BF608523,Samsung Chromebook,Good,Unassigned
FHS,None,7068,HY3A91BF609015,Samsung Chromebook,Good,Unassigned
FHS,None,2774,HY3A91ND212240,Samsung Chromebook,Good,Unassigned
FHS,None,5151,HY3A91KD746149,Samsung Chromebook,Good,Unassigned
FHS,None,7010,HY3A91BF608801,Samsung Chromebook,Good,Unassigned
FHS,None,7089,HY3A91BF608375,Samsung Chromebook,Good,Unassigned
FHS,None,6593,HY3A91BF607553,Samsung Chromebook,Good,Unassigned
FHS,None,6675,HY3A91AF604533,Samsung Chromebook,Good,Unassigned
FHS,None,6432,HY3A91AF609740,Samsung Chromebook,Good,Unassigned
FHS,None,6826,HY3A91AF609166,Samsung Chromebook,Good,Unassigned
FHS,None,6831,HY3A91AF609646,Samsung Chromebook,Good,Unassigned
FHS,None,6576,HY3A91AF609511,Samsung Chromebook,Good,Unassigned
FHS,None,7297,HY3A91HF705414,Samsung Chromebook,Good,Unassigned
FHS,None,5577,HY3A91JD704286,Samsung Chromebook,Good,Unassigned
FHS,None,6907,HY3A91BF607353,Samsung Chromebook,Good,Unassigned
FHS,None,6905,HY3A91BF607525,Samsung Chromebook,Good,Unassigned
FHS,None,6693,HY3A91BF607610,Samsung Chromebook,Good,Unassigned
FHS,None,7123,HY3A91AF608620,Samsung Chromebook,Good,Unassigned
FHS,None,7085,HY3A91BF608632,Samsung Chromebook,Good,Unassigned
FHS,None,6860,HY3A91AF609706,Samsung Chromebook,Good,Unassigned
FHS,None,7181,HY3A91BF608516,Samsung Chromebook,Good,Unassigned
FHS,None,6865,HY3A91AF608985,Samsung Chromebook,Good,Unassigned
FHS,None,6569,HY3A91BF609068,Samsung Chromebook,Good,Unassigned
FHS,None,6597,HY3A91BF607778,Samsung Chromebook,Good,Unassigned
FHS,None,7221,HY3A91BF608753,Samsung Chromebook,Good,Unassigned
FHS,None,6446,HY3A91BF608584,Samsung Chromebook,Good,Unassigned
FHS,None,6849,HY3A91AF609273,Samsung Chromebook,Good,Unassigned
FHS,None,6902,HY3A91BF606750,Samsung Chromebook,Good,Unassigned
FHS,None,5572,HY3A91TD630376,Samsung Chromebook,Good,Unassigned
FHS,None,6519,0UG99FBF602129,Samsung Chromebook,Good,Unassigned
FHS,None,7107,HY3A91BF608817,Samsung Chromebook,Good,Unassigned
FHS,None,6420,HY3A91AF607797,Samsung Chromebook,Good,Unassigned
FHS,None,7204,HY3A91AF609435,Samsung Chromebook,Good,Unassigned
FHS,None,6619,HY3A91BF608680,Samsung Chromebook,Good,Unassigned
FHS,None,7273,0UG99FBF703260,Samsung Chromebook,Good,Unassigned
FHS,None,7060,HY3A91BF608706,Samsung Chromebook,Good,Unassigned
FHS,None,6532,HY3A91AF609018,Samsung Chromebook,Good,Unassigned
FHS,None,6690,HY3A91AF604842,Samsung Chromebook,Good,Unassigned
FHS,None,6798,HY3A91BF608762,Samsung Chromebook,Good,Unassigned
FHS,None,6828,HY3A91AF609098,Samsung Chromebook,Good,Unassigned
FHS,None,7177,HY3A91BF608405,Samsung Chromebook,Good,Unassigned
FHS,None,5154,HY3A91KD746123,Samsung Chromebook,Good,Unassigned
FHS,None,6484,HY3A91BF608385,Samsung Chromebook,Good,Unassigned
FHS,None,6574,HY3A91BF608679,Samsung Chromebook,Good,Unassigned
FHS,None,5820,HY3A91ND727261,Samsung Chromebook,Good,Unassigned
FHS,None,7005,HY3A91BF608854,Samsung Chromebook,Good,Unassigned
FHS,None,6721,HY3A91AF609137,Samsung Chromebook,Good,Unassigned
FHS,None,6518,HY3A91AF604517,Samsung Chromebook,Good,Unassigned
FHS,None,6908,HY3A91BF607518,Samsung Chromebook,Good,Unassigned
FHS,None,6670,HY3A91BF607222,Samsung Chromebook,Good,Unassigned
FHS,None,6800,HY3A91BF608907,Samsung Chromebook,Good,Unassigned
FHS,None,7169,HY3A91BF608530,Samsung Chromebook,Good,Unassigned
